gubun,code,name
1,007980,태평양물산
1,008000,도레이케미칼
1,008020,경남에너지
1,008040,동아원
1,008060,대덕전자
1,008110,대동전자
1,008250,이건산업
1,008260,NI스틸
1,008350,남선알미늄
1,008355,남선알미우
1,008420,문배철강
1,008490,서흥
1,008500,일정실업
1,008560,메리츠종금증권
1,008600,윌비스
1,008700,아남전자
1,008730,율촌화학
1,008770,호텔신라
1,008775,호텔신라우
1,008870,금비
1,008900,티이씨앤코
1,008930,한미사이언스
1,008970,동양철관
1,009070,KCTC
1,009140,경인전자
1,009150,삼성전기
1,009155,삼성전기우
1,009160,SIMPAC
1,009180,한솔로지스틱스
1,009190,대양금속
1,009200,무림페이퍼
1,009240,한샘
1,009270,신원
1,009275,신원우
1,009290,광동제약
1,009310,참엔지니어링
1,009320,대우부품
1,009410,태영건설
1,009415,태영건설우
1,009420,한올바이오파마
1,009440,KC그린홀딩스
1,009450,경동나비엔
1,009460,한창제지
1,009470,삼화전기
1,009540,현대중공업
1,009580,무림P&P
1,009680,모토닉
1,009770,삼정펄프
1,009810,고려포리머
1,009830,한화케미칼
1,009835,한화케미칼우
1,009970,영원무역홀딩스
1,010040,한국내화
1,010050,우리종금
1,010060,OCI
1,010100,한국프랜지
1,010120,LS산전
1,010130,고려아연
1,010140,삼성중공업
1,010145,삼성중공우
1,010420,한솔PNS
1,010580,지코
1,010600,와이비로드
1,010620,현대미포조선
1,010640,진양폴리
1,010660,화천기계
1,010690,화신
1,010770,평화홀딩스
1,010780,아이에스동서
1,010820,퍼스텍
1,010950,S-Oil
1,010955,S-Oil우
1,010960,삼호개발
1,011000,진원생명과학
1,011070,LG이노텍
1,011090,에넥스
1,011150,CJ씨푸드
1,011155,CJ씨푸드1우
1,011160,두산건설
1,011170,롯데케미칼
1,011200,현대상선
1,011210,현대위아
1,011230,삼화전자
1,011280,태림포장
1,011300,성안
1,011330,유니켐
1,011390,부산산업
1,011420,IB월드와이드
1,011500,한농화성
1,011690,유양디앤유
1,011700,한신기계
1,011720,현대페인트
1,011760,현대상사
1,011780,금호석유
1,011785,금호석유우
1,011790,SKC
1,011810,STX
1,011930,신성솔라에너지
1,012030,동부
1,012160,영흥철강
1,012170,키스톤글로벌
1,012200,계양전기
1,012205,계양전기우
1,012280,영화금속
1,012320,경동가스
1,012330,현대모비스
1,012450,한화테크윈
1,012510,더존비즈온
1,012600,청호컴넷
1,012610,경인양행
1,012630,현대산업
1,012690,모나리자
1,012750,에스원
1,012800,대창
1,013000,세우글로벌
1,013360,일성건설
1,013367,일성건설2우B
1,013520,화승알앤에이
1,013570,디와이
1,013580,계룡건설
1,013700,삼환까뮤
1,013870,지엠비코리아
1,014130,한익스프레스
1,014160,대영포장
1,014280,금강공업
1,014285,금강공업우
1,014440,영보화학
1,014530,극동유화
1,014580,백광소재
1,014680,한솔케미칼
1,014710,사조씨푸드
1,014790,한라
1,014820,동원시스템즈
1,014825,동원시스템즈우
1,014830,유니드
1,014910,성문전자
1,014915,성문전자우
1,014990,인디에프
1,015020,이스타코
1,015230,대창단조
1,015260,에이엔피
1,015350,부산가스
1,015360,예스코
1,015540,핫텍
1,015590,대경기계
1,015760,한국전력
1,015860,일진홀딩스
1,015890,태경산업
1,016090,대현
1,016360,삼성증권
1,016380,동부제철
1,016385,동부제철우
1,016450,한세예스24홀딩스
1,016580,환인제약
1,016590,신대양제지
1,016610,동부증권
1,016710,대성홀딩스
1,016800,퍼시스
1,016880,웅진
1,017040,광명전기
1,017180,명문제약
1,017370,우신시스템
1,017390,서울가스
1,017550,수산중공업
1,017670,SK텔레콤
1,017800,현대엘리베이
1,017810,풀무원
1,017900,광전자
1,017940,E1
1,017960,한국카본
1,018260,삼성에스디에스
1,018470,조일알미늄
1,018500,동원금속
1,018670,SK가스
1,018880,한온시스템
1,019170,신풍제약
1,019175,신풍제약우
1,019180,티에이치엔
1,019300,동일제지
1,019440,세아특수강
1,019490,하이트론
1,019680,대교
1,019685,대교우B
1,020000,한섬
1,020120,다우인큐브
1,020150,일진머티리얼즈
1,020560,아시아나항공
1,020760,일진디스플
1,021050,서원
1,021240,코웨이
1,021820,세원정공
1,021960,케이비캐피탈
1,023000,삼원강재
1,023150,MH에탄올
1,023350,한국종합기술
1,023450,동남합성
1,023530,롯데쇼핑
1,023590,다우기술
1,023800,인지컨트롤스
1,023810,인팩
1,023960,에쓰씨엔지니어링
1,024070,WISCOM
1,024090,디씨엠
1,024110,기업은행
1,024720,한국콜마홀딩스
1,024890,대원화성
1,024900,덕양산업
1,025000,KPX케미칼
1,025530,SJM홀딩스
1,025540,한국단자
1,025560,미래산업
1,025620,신우
1,025750,한솔홈데코
1,025820,이구산업
1,025850,한화화인케미칼
1,025860,남해화학
1,025890,한국주강
1,026890,디피씨
