Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2003-04-23,11200.01,11299.97,10799.97,10799.97,1114400,13330.22,13350.82599999996,14511.052333333348,15487.680499999988,17307.478874999983
2003-04-24,10700.02,10900.0,10500.04,10599.99,728300,13083.39,13436.815333333292,14488.423500000014,15449.623249999986,17264.021583333313
2003-04-25,10200.03,10249.96,9799.98,9970.0,1587700,12305.81,13444.632333333291,14452.835000000015,15406.11508333332,17211.410333333315
2003-04-28,9549.99,10500.04,9549.99,10450.02,1473700,12898.29,13494.005666666624,14410.663833333349,15373.71508333332,17160.496083333317
2003-04-29,10849.99,11400.0,10650.01,11200.01,2584300,13823.99,13518.692333333289,14375.693166666682,15356.229749999988,17116.524749999986
2003-04-30,11000.03,11750.02,10950.02,11549.96,2513400,14255.92,13526.919999999955,14346.892500000016,15342.34383333332,17074.610374999982
2003-05-01,11549.96,11549.96,11549.96,11549.96,0,14255.92,13522.804333333286,14318.09183333335,15325.37208333332,17035.01016666665
2003-05-02,11549.96,11599.98,11049.97,11299.97,966700,13947.36,13502.229999999952,14289.29133333335,15300.171833333321,16999.01024999998
2003-05-05,11299.97,11299.97,11299.97,11299.97,0,13947.36,13489.88666666662,14268.718666666684,15271.37124999999,16970.210083333317
2003-05-06,11649.99,11750.02,11400.0,11700.01,1486000,14441.12,13541.314333333286,14249.17633333335,15246.685333333324,16944.495708333317
2003-05-07,11849.97,11849.97,11549.96,11750.02,1152300,14502.86,13584.51466666662,14227.57633333335,15223.028416666659,16918.524583333314
2003-05-08,11750.02,11750.02,11750.02,11750.02,0,14502.86,13644.173666666618,14201.862500000017,15199.885916666659,16892.553458333314
2003-05-09,11500.03,11549.96,11299.97,11500.03,894800,14194.29,13695.604999999952,14174.092500000019,15171.086166666659,16867.86799999998
2003-05-12,11899.99,12200.0,11849.97,12099.97,1698100,14934.79,13802.576333333283,14137.064166666685,15146.400249999993,16840.09629166665
2003-05-13,12200.0,12200.0,11599.98,11599.98,936200,14317.66,13880.334666666617,14093.864166666686,15112.971333333326,16808.467499999984
2003-05-14,11400.0,11549.96,11250.03,11349.98,999900,14009.09,13944.92766666662,14041.40750000002,15075.94291666666,16774.52454166665
2003-05-15,11549.96,11599.98,11200.01,11500.03,880900,14194.29,14016.104999999952,13984.836833333353,15036.857583333327,16741.353249999982
2003-05-16,11299.97,11450.01,11000.03,11150.0,879800,13762.26,14044.903999999953,13928.266333333353,14991.086166666659,16707.41029166665
2003-05-19,10799.97,11099.98,10799.97,11049.97,471900,13638.79,14022.274999999954,13870.665166666686,14944.285833333326,16675.010249999985
2003-05-20,10849.99,11599.98,10849.99,11599.98,889400,14317.66,14026.387333333287,13841.864666666688,14904.171666666658,16647.495791666654
2003-05-21,11599.98,11599.98,11150.0,11299.97,687300,13947.36,14026.387333333287,13806.892500000022,14868.171333333326,16622.552708333318
2003-05-22,11299.97,11450.01,11000.03,11000.03,617000,13577.15,14026.387333333287,13760.607333333355,14829.600416666659,16597.867249999985
