Date,Open,High,Low,Close,Volume,Adj Close,MA20,MA200
2012-08-21,49850.02,50100.01,48300.02,48500.0,490500,60218.3,60867.05,60356.43049999993
2012-08-22,48600.03,48800.01,47849.96,48600.03,342500,60342.5,60836.009999999995,60385.60849999993
2012-08-23,48649.97,49100.02,48250.0,48850.03,286800,60652.9,60867.04999999999,60417.26999999993
2012-08-24,48649.97,48750.0,48000.0,48149.97,263200,59783.7,60792.54999999999,60450.793499999934
2012-08-27,48300.02,48699.98,48149.97,48500.0,199000,60218.3,60836.00499999999,60486.80049999993
2012-08-28,48250.0,48649.97,47349.96,47800.02,388600,59349.2,60804.96499999999,60522.18649999993
2012-08-29,47699.99,47750.01,46500.02,46800.04,886700,58107.6,60668.38999999999,60548.88149999993
2012-08-30,46500.02,47800.02,46300.04,47450.0,636300,58914.6,60572.16499999999,60569.36799999992
2012-08-31,47649.98,48149.97,47149.98,47500.01,342500,58976.7,60519.39499999998,60592.02749999992
2012-09-03,47649.98,48149.97,46849.97,47699.99,216800,59225.0,60460.419999999984,60607.85799999991
2012-09-04,47949.99,49100.02,47899.97,48600.03,513200,60342.5,60460.419999999984,60627.102999999915
2012-09-05,48899.96,48999.99,48000.0,48100.04,355100,59721.7,60454.21499999998,60640.76099999991
2012-09-06,48350.03,48899.96,48100.04,48750.0,271100,60528.7,60454.21499999998,60650.38349999991
2012-09-07,49300.01,49499.99,48949.98,49300.01,360400,61211.6,60460.42499999999,60666.52449999991
2012-09-10,49350.02,49800.0,48999.99,49400.04,277800,61335.8,60463.52999999999,60681.42399999991
2012-09-11,49150.04,49300.01,48649.97,48899.96,238900,60714.9,60357.98999999999,60699.737499999916
2012-09-12,48800.01,50299.99,48800.01,49999.98,542000,62080.7,60320.73999999999,60715.56799999991
2012-09-13,49650.03,50199.96,49550.0,49999.98,278800,62080.7,60302.11499999999,60725.50099999991
2012-09-14,50700.04,50799.99,48999.99,49249.99,1191200,61149.5,60320.73999999999,60731.70899999991
2012-09-17,49300.01,49300.01,48100.04,48100.04,1012300,59721.7,60233.829999999994,60727.363499999905
2012-09-18,48500.0,48800.01,48250.0,48250.0,377800,59907.9,60218.30999999998,60732.01949999991
2012-09-19,48350.03,49550.0,48350.03,49499.99,546200,61459.9,60274.17999999998,60748.47099999991
2012-09-20,50400.02,51299.98,50299.99,50299.99,1260900,62453.2,60364.194999999985,60774.8554999999
2012-09-21,50700.04,51299.98,50299.99,50299.99,517300,62453.2,60497.669999999984,60804.0334999999
2012-09-24,50900.02,51400.01,50199.96,50999.97,534300,63322.3,60652.86999999998,60858.66449999991
2012-09-25,51200.03,51299.98,49999.98,50100.01,303900,62204.9,60795.654999999984,60904.29399999991
2012-09-26,49449.97,49699.97,49150.04,49550.0,297400,61522.0,60966.37499999998,60940.61099999991
2012-09-27,49400.04,50400.02,48899.96,49249.99,340200,61149.5,61078.11999999997,60975.06549999992
2012-09-28,48800.01,48800.01,47250.01,47550.03,999800,59038.8,61081.22499999998,60998.96649999992
2012-10-01,47550.03,47550.03,47550.03,47550.03,0,59038.8,61071.91499999998,61023.79899999992
2012-10-02,47699.99,48050.02,47450.0,47500.01,367700,58976.7,61003.62499999998,61052.97699999992
2012-10-03,47500.01,47500.01,47500.01,47500.01,0,58976.7,60966.37499999998,61084.63799999991
2012-10-04,48149.97,48649.97,48050.02,48300.02,379000,59970.0,60938.43999999998,61114.43699999992
2012-10-05,48300.02,48800.01,47800.02,47949.99,265400,59535.4,60854.62999999997,61142.06299999992
2012-10-08,48100.04,48300.02,47250.01,47750.01,354600,59287.1,60752.19499999997,61168.44749999992
2012-10-09,47599.96,48449.98,47599.96,48050.02,196400,59659.6,60699.42999999998,61189.24449999993
2012-10-10,47849.96,47849.96,47250.01,47250.01,225200,58666.3,60528.709999999985,61206.937499999935
2012-10-11,47149.98,47849.96,47000.02,47149.98,224000,58542.1,60351.77999999999,61226.49299999993
2012-10-12,47300.03,47599.96,46349.98,47000.02,228100,58355.9,60212.09999999999,61250.39399999994
2012-10-15,46700.0,47300.03,46450.01,46649.99,162300,57921.3,60122.079999999994,61275.53649999994
2012-10-16,47099.97,48750.0,46599.97,48199.99,379900,59845.8,60118.975,61308.43899999994
2012-10-17,48899.96,49999.98,48699.98,49749.99,616200,61770.3,60134.49500000001,61353.75799999994
2012-10-18,50499.98,50999.97,49699.97,49749.99,622300,61770.3,60100.35000000001,61396.59349999995
2012-10-19,50100.01,50199.96,49150.04,49749.99,247500,61770.3,60066.205000000016,61429.18599999995
2012-10-22,49300.01,49999.98,49100.02,49699.97,343500,61708.2,59985.500000000015,61458.05349999995
2012-10-23,49900.03,51200.03,49749.99,50100.01,555800,62204.9,59985.500000000015,61477.298499999946
2012-10-24,49499.99,50799.99,48500.0,49999.98,537800,62080.7,60013.43500000001,61499.33699999995
2012-10-25,50400.02,51100.0,50199.96,50400.02,587800,62577.4,60084.83,61519.82399999995
2012-10-26,50499.98,50600.01,48100.04,48850.03,609500,60652.9,60165.534999999996,61527.894499999944
2012-10-29,49199.97,49650.03,48600.03,48949.98,318600,60777.0,60252.44499999999,61536.58549999994
2012-10-30,49400.04,49499.99,48750.0,48949.98,222000,60777.0,60342.46,61545.27649999994
2012-10-31,49199.97,49300.01,48350.03,48949.98,229100,60777.0,60432.475,61555.51949999994
2012-11-01,48500.0,48899.96,47200.0,47750.01,549800,59287.1,60398.33,61550.242499999935
