,volume,value,sojinrate,high,covolume,l_change,o_diff,marketcap,low,h_sign,chdegree,shcode,o_change,l_diff,diff,date,open,sign,h_diff,h_change,ppvolume,l_sign,changerate,fpvolume,o_sign,change,close,diff_vol
13,159844,1270,8.60,8310,0,-550,-1.79,221217,7830,5,61.54,000020,-150,-6.56,-5.49,20150812,8230,5,-0.84,-70,30512,5,0.57,-40523,5,460,7920,59.84
14,100003,822,8.74,8470,-149,-340,1.80,234066,7980,2,43.04,000020,150,-4.09,0.72,20150811,8470,2,1.80,150,-20077,5,0.36,20555,2,60,8380,167.46
15,37390,314,8.67,8600,-825,-210,0.82,232390,8320,2,53.85,000020,70,-2.46,-2.46,20150810,8600,5,0.82,70,4025,5,0.13,-3200,2,210,8320,-16.75
16,44914,383,8.68,8700,0,-150,0.00,238255,8380,2,124.36,000020,0,-1.76,0.00,20150807,8530,3,1.99,170,-23410,5,0.16,3957,3,0,8530,-41.26
17,76460,655,8.67,8690,0,-50,0.00,238255,8490,2,58.52,000020,0,-0.59,-0.12,20150806,8540,5,1.76,150,-12447,5,0.27,6679,3,10,8530,-11.71
18,86605,730,8.64,8550,266,-10,0.12,238535,8280,2,87.10,000020,10,-0.12,3.02,20150805,8300,2,3.14,260,-18383,5,0.31,18076,2,250,8540,-24.37
19,114515,930,8.56,8300,266,-90,-0.99,231552,7980,2,104.20,000020,-80,-1.12,2.73,20150804,7990,2,2.85,230,-19622,5,0.41,9803,5,220,8290,36.67
20,83789,682,8.52,8310,-79,-130,0.49,225407,8030,2,48.01,000020,40,-1.59,-1.10,20150803,8200,5,1.84,150,-12547,5,0.30,-6609,2,90,8070,-40.46
21,140730,1133,8.54,8250,-21,-140,0.00,227921,7830,2,151.09,000020,0,-1.76,2.38,20150731,7970,2,3.51,280,-29395,5,0.50,37156,3,190,8160,-24.73
22,186963,1511,8.41,8400,-27382,-420,-0.48,222614,7900,2,63.31,000020,-40,-5.05,-4.21,20150730,8280,5,0.96,80,-1068,5,0.67,28450,5,350,7970,82.44
23,102481,880,8.31,8830,211,-290,1.63,232390,8320,2,35.17,000020,140,-3.37,-3.37,20150729,8750,5,2.56,220,-10522,5,0.37,10311,2,290,8320,-37.87
24,164939,1399,8.27,8690,0,-510,-1.82,240490,8280,5,78.54,000020,-160,-5.80,-2.05,20150728,8630,5,-1.14,-100,-48270,5,0.59,18030,5,180,8610,-14.31
25,192486,1715,8.21,9220,-143,-430,-0.11,245518,8790,3,43.53,000020,-10,-4.66,-4.66,20150727,9210,5,0.00,0,26885,5,0.69,-26742,5,430,8790,23.52
26,155836,1415,8.30,9260,-152,-60,0.89,257528,8940,2,99.05,000020,80,-0.67,2.44,20150724,9080,2,2.89,260,-37289,5,0.56,39441,2,220,9220,-11.83
27,176745,1587,8.16,9060,500,-160,-0.44,251383,8900,3,55.63,000020,-40,-1.77,-0.66,20150723,9020,5,0.00,0,-19600,5,0.63,20787,5,60,9000,-36.88
28,280011,2529,8.09,9200,0,-230,0.11,253059,8960,2,38.45,000020,10,-2.50,-1.41,20150722,9200,5,0.11,10,16355,5,1.00,1661,2,130,9060,130.21
29,121631,1111,8.08,9310,-93,-190,0.11,256690,9050,2,53.92,000020,10,-2.06,-0.54,20150721,9250,5,0.76,70,-3106,5,0.44,3199,2,50,9190,-28.45
30,169992,1569,8.07,9330,-259,-10,0.55,258087,9100,2,116.46,000020,50,-0.11,1.43,20150720,9160,2,2.41,220,-10400,5,0.61,10628,2,130,9240,-23.04
31,220883,2049,8.03,9500,0,-410,-0.32,254456,9100,5,45.65,000020,-30,-4.31,-4.21,20150717,9480,5,-0.11,-10,37478,5,0.79,-10263,5,400,9110,-1.61
32,224498,2117,8.07,9600,-503,-130,0.00,265628,9330,2,101.87,000020,0,-1.37,0.53,20150716,9460,2,1.48,140,-6669,5,0.80,13671,3,50,9510,-20.86
33,283657,2647,8.02,9490,-85,-100,-0.32,264232,9200,2,116.28,000020,-30,-1.08,1.72,20150715,9270,2,2.04,190,-40777,5,1.02,40392,5,160,9460,-8.61
34,310379,2891,7.88,9490,0,-60,1.95,259763,9150,2,119.24,000020,180,-0.65,0.98,20150714,9390,2,3.04,280,21293,5,1.11,-22143,2,90,9300,51.68
35,204631,1854,7.95,9210,-69,-10,1.12,257249,8900,2,150.48,000020,100,-0.11,3.37,20150713,9010,2,3.37,300,-13440,5,0.73,10757,2,300,9210,-63.50
36,560679,5133,7.91,9540,-84,-160,1.89,248869,8840,2,65.11,000020,170,-1.78,-1.00,20150710,9170,5,6.00,540,50533,5,2.01,-45220,2,90,8910,-28.60
37,785221,6955,8.07,9200,-13547,-670,-4.00,251383,8590,5,63.20,000020,-370,-7.24,-2.81,20150709,8890,5,-0.65,-60,44068,5,2.81,33601,5,260,9000,-10.53
38,877594,8252,7.95,9890,-914,-700,-0.20,258645,9120,2,49.52,000020,-20,-7.13,-5.70,20150708,9800,5,0.71,70,37342,5,3.14,-21216,5,560,9260,-61.79
39,2296766,24403,8.03,12250,15719,-1550,4.02,274287,9650,2,70.25,000020,450,-13.84,-12.32,20150707,11650,5,9.38,1050,109949,5,8.22,-122548,2,1380,9820,-4.18
40,2396869,27328,8.47,12000,-8506,-350,-2.79,312832,10400,2,115.03,000020,-300,-3.26,4.19,20150706,10450,2,11.63,1250,16078,5,8.58,20733,5,450,11200,17.22
41,2044844,21625,8.39,10950,-23774,20,0.80,300263,9990,2,165.61,000020,80,0.20,7.82,20150703,10050,2,9.83,980,-9743,2,7.32,27251,2,780,10750,104.78
42,998554,10214,8.29,10650,10587,-290,1.50,278477,9710,2,98.16,000020,150,-2.90,-0.30,20150702,10150,5,6.50,650,26982,5,3.58,-2565,2,30,9970,20.24
43,830475,8117,8.30,10200,22165,30,0.55,279315,9100,2,190.04,000020,50,0.33,10.25,20150701,9120,2,12.46,1130,-14964,2,2.97,25867,2,930,10000,264.95
44,227561,2034,8.21,9150,29,-210,0.23,253338,8670,2,109.43,000020,20,-2.36,2.14,20150630,8900,2,3.04,270,-62713,5,0.81,10053,2,190,9070,-37.66
45,365033,3313,8.17,9380,1814,-470,-1.60,248031,8880,2,28.93,000020,-150,-5.03,-5.03,20150629,9200,5,0.32,30,-9351,5,1.31,41108,5,470,8880,-59.84
46,909053,8998,8.03,10350,-170,-390,0.92,261159,9350,2,77.67,000020,90,-4.00,-4.00,20150626,9830,5,6.26,610,-6437,5,3.25,31002,2,390,9350,157.55
47,352966,3414,7.92,9870,218,-60,-0.11,272053,9430,2,137.04,000020,-10,-0.63,2.63,20150625,9480,2,4.00,380,-15534,5,1.26,14623,5,250,9740,40.35
48,251488,2360,7.86,9490,0,-40,0.22,265070,9200,2,143.06,000020,20,-0.43,2.71,20150624,9260,2,2.71,250,-21877,5,0.90,25229,2,250,9490,81.27
49,138733,1263,7.77,9260,-276,-50,1.44,258087,8990,2,68.64,000020,130,-0.55,2.21,20150623,9170,2,2.43,220,-48465,5,0.50,48741,2,200,9240,35.42
50,102443,933,7.60,9290,1262,-170,1.09,252500,8970,2,71.53,000020,100,-1.86,-1.09,20150622,9240,5,1.64,150,11156,5,0.37,-2006,2,100,9040,9.04
51,93954,865,7.61,9360,-241,-130,0.76,255294,9090,2,78.32,000020,70,-1.41,-0.87,20150619,9290,5,1.52,140,197,5,0.34,844,2,80,9140,-43.82
52,167227,1528,7.60,9260,-339,30,1.11,257528,9010,2,115.84,000020,100,0.33,2.67,20150618,9080,2,3.12,280,-10312,2,0.60,28042,2,240,9220,42.81
53,117100,1055,7.50,9140,0,0,0.22,250825,8900,2,123.33,000020,20,0.00,0.90,20150617,8920,2,2.70,240,-19350,3,0.42,20150,2,80,8980,-37.95
54,188727,1672,7.43,9100,-243,-160,-0.45,248590,8790,2,57.78,000020,-40,-1.79,-0.56,20150616,8910,5,1.68,150,-4204,5,0.68,10400,5,50,8900,12.20
